text,type,created_at
"Fiz uma compra melo site da Livraria  . Depois de umas duas horas, aproximadamente, recebi um e-mail da   dizendo: <br />Informamos que o seu pedido 312501845 encontra-se em análise e, para que possamos dar continuidade ao processo, será necessário o seu contato para confirmação de alguns dados de sua encomenda através dos telefones: (11) 3065-7200 para Grande São Paulo ou 0800-754-4000 para outras localidades.<br />Esclarecemos que este é um procedimento de segurança adotado pela   e que o prazo de postagem inicialmente acordado será válido apenas após o seu contato. Caso isso não aconteça, sua encomenda será cancelada no prazo de 5 dias úteis.<br />Agradecemos sua compreensão e colocamo-nos à disposição para mais esclarecimentos.&quot;.<br /><br />Bom, pensando na questão segurança entrei em contato, conforme orientado na mensagem e para a minha surpresa a atendente da   me disse que eu tinha que dizer os meus dados para que ela confirmasse e não o contrário. <br /><br />Obviamente, por se tratar, justamente, de segurança eu me recusei a dizer os meus dados e solicitei que ela o fizesse que eu iria confirma-los. Quando ela me disse que ela não poderia faze-lo.<br /><br />simplesmente minha compra será interrompida por falta de um procedimento adequado. Que absurdo é esse solicitar que alguém diga os seus dados por telefone????",badservice,2017-07-27T19:06:11
"Fiz a compra no dia 14/07/2017 e recebi um e-mail solicitando confirmação de dados. Tentei ligar no numero informado, mas a ligação é bloqueada para celular e eu não possuo telefone fixo. Entrei em contato via chat online, solicitei que a   entrasse em contato comigo e me deram um prazo de 24 horas. A   não ligou. Entrei em contato com o chat online novamente e fui informada que haviam ligado, entretanto não recebi nenhuma ligação. Novamente pediram pra aguardar sem informar prazo! O valor já consta na minha fatura, o prazo esta passando e o meu pedido não muda de status. O atendimento é despreparado e desrespeitoso, pois o atendente ao invés de procurar solucionar, fica insinuando que o cliente está mentido.",badservice,2017-07-17T11:12:30
"Olá, fiz uma compra em 10/07/2017. Pedido: 308102165<br />Em nome de Isabella Freire<br />Porém o CEP ESTÁ ERRADO E A   COLOCOU O ENDEREÇO INCOMPLETO FALTANDO O NÚMERO DO PREDIO QUE É 25!<br />Av Henfil, 25 - CHOICE RESIDENCES<br />RECREIO DOS BANDEIRANTES <br />O cep correto é 22795-641<br />Não consigo contato NENHUM COM A   e a transfolha não me entregou alegando não encontrar o endereço sendo que o nome da avenida, número e referências estão todos corretos! <br /><br />Peço por gentileza para alterar essas informações pois quero receber meu produto!!  Obrigada",badservice,2017-07-17T00:22:43
"Efetuei compra de uma multifuncional no site da  , em 14/07/2017, com o objetivo de suprir as necessidades do meu escritório e pessoais. A compra foi realizada no cartão da minha noiva, visto que esta me deu de presente de aniversário o referido produto. <br />Ocorre que poucas horas após efetuar a compra, recebi mensagem para a &quot;confirmação de alguns dados de sua encomenda&quot;, via e-mail, e caso tal comunicacão não fosse feita, no prazo de 05 dias, a compra seria cancelada.<br /><br />No entanto, tento ligar repetidas vezes para o referido número e este sempre dá telefone bloqueado para essa chamada, sendo que o horário de atendimento é de 8 hrs as 20 hrs.<br /><br />Mas indago: como a   espera que eu atualize quaisquer dados se o telefone disponibilizado sequer chama/atende? O correto seria a ligacão da fornecedora ao consumidor e não do contrário, visto que estas tentativas de contatos com a empresa fornecedora são sempre estressantes e demasiadamente demoradas.<br /> <br />Verdadeiro descaso com o consumidor !!!<br /><br />Diante do exposto, requer que os dados sejam devidamente atualizados com a maior brevidade possível, diante da necessidade que o aparelho representa.<br /><br />Nesses termos, <br />Aguardo resposta.<br /><br />Att.",badservice,2017-07-14T18:37:33
"Meu pedido está com o status &quot;PROBLEMAS FISCAIS&quot; há três dias (desde o dia 11/07) e eu já entrei em contato duas vezes com a empresa, por rede social e chat do site, e nenhum dos atendentes soube me explicar de fato o que aconteceu. O prazo de entrega é até dia 19, mas estou vendo pouquíssima movimentação da empresa em solucionar esse problema.",badservice,2017-07-14T03:17:24
"Bom, <br /><br />Já fiz compra pela Saravia e eles entregaram até antes do prazo. Vou resumir agora meu problema neste pedido : A   despachou via folha transportadora (que por sinal não tem um sac) e consta no status de entrega que a transportadora não encontrou o meu endereço. Apesar da entrega estar prevista para o dia 14/07 (não venceu ainda) foi tentar contato via saravia para saber como proceder com a transportadora pois há muitos dias eles não tentam a entrega ( a última atualização ocorreu dia 10 de julho). Tentei os canais normais de atendimento da  <br />> Chat on line : não funciona<br />> Canais de sac: falo com secretárias eletrônicas e não resolvem meu problema<br />> Quanto falo com um atendente ele ficam empurando de canal em canal de atendimento fico horas no telefone e não resolvem meu problema.<br /><br />Resumindo, acho a   uma empresa séria, estou reclamando por aqui por conta de uma falha da transportadora, o que esta fazendo com que exita uma insatisfação cliente/empresa.<br /><br />Abraços",badservice,2017-07-13T09:22:08
"Boa tarde. Após várias tentativas para reativar o meu cadastro, fui informada, de forma definitiva, que o fato de não ter mais acesso a nenhum dos emails antigos ou a senha dos mesmos, teria que encontrar meios de lembrar ou descobrir o antigo login.<br />Mesmo passando emissão dados completos e comprovando que eu sou EU MESMA, a equipe se recusa a atualizar os meus dados para que eu tenha acesso ao site, ou mesmo cancelar o cadastro antigo para que eu seja capaz de criar um novo.<br />Deixei de fazer inúmeras compras e só passo nervoso. É um absurdo!",badservice,2017-07-12T14:05:22
"Fiz uma reclamação do pedido 306349670, referente ao pagamento, o funcionário Guilherme da  , me ligou e me ofereceu um cartão presente caso eu finaliza-se a reclamação no reclame aqui, até o momento não me retornaram com o cartão presente, desde o dia 05/07.",badservice,2017-07-10T14:04:10
"Havia realizado uma compra de 4 livros no dia 28/06, sendo que 2 deles estavam sob encomenda e 2 no estoque. No carrinho, estava indicada a data correta de entrega, até 5 dias úteis para os em estoque e até 29 dias úteis o sob encomenda. Todavia, na hora da compra todos os livros estavam com entrega em até 30 dias. Cancelei a compra, não só por este fato, mas também para adicionar um novo item a compra. <br />Para sanar a dúvida das datas, entrei em contato com o chat, explicado que se esse fosse o novo padrão da loja virtual, eu preferiria realizar duas compras separadas, para poder receber os livros disponíveis antes, sendo que a atendente disse que eu poderia efetuar a compra única e caso o prazo indicado fosse único, era para voltar o contato no chat que eles fariam o pedido de envio separado.<br />Realizei a compra, com um item a mais, então são 3 livros em estoque e 2 sob encomenda, sendo que estava vigente a promoção desconto progressivo. Novamente no carrinho havia a indicação das datas separadas de entrega (o que é comum, pois já realizei várias compras assim no site da empresa), mas ao finalizar o pagamento, a data foi jogada para 1/08. Seguindo a recomendação da atendente, entrei em contato no chat, que gerou o protocolo 8152438. O atendente me deu o prazo de 3 dias úteis para resolver, sendo que também me informou que nas próximas vezes eu deveria adquirir em compras separadas, pois agora para a opção retirada em loja ser gratuita, eu tenho que esperar o prazo máximo.<br />Todavia, o prazo por ele dado foi ontem. Hoje entrei em contato novamente para verificar, protocolo 8203899, a atendente, super mal educada por sinal, apenas me deu um novo prazo de 3 dias, sequer explicado porque o primeiro prazo não foi cumprido!<br />E agora se eu cancelar a compra, a promoção não está mais vigente, portanto iria pagar mais caro, saindo no prejuízo, devido a falta de comprometimento da  !",badservice,2017-07-06T11:33:54
"pedido 305774465 pago no debito porem o status do pedido esta como aguardando pagamento  ,estranho isso se eu ja paguei no debito .pagar 2 x isso???",badservice,2017-07-03T01:19:49
